Project ID,Category,Title,County,Improvement Type,Cost,Primary Project, Description
"64220","Four Year","Keim St & PA 724 Interchg","Chester       ","Reconstruct","64999000","null","Keim St & PA 724 Interchange
N Coventry Twp
Reconstruction"
"64481","Four Year","Butler Twp. Park & Ride","Luzerne       ","Park and Ride Lot","588564","null","Construction of a Park and Park and Ride Lot on PA Route 309 at the Interstate 80 Interchange in Butler Township, Luzerne County."
"64767","Four Year","Centerville Rd Interchang","Lancaster     ","Interchange Improvement","20599860","null","Centerville Road (T-408) including the SR 4057 bridge, between US-30 interchange and PA-23. PA-23 between Centerville Rd and Stoney Battery Rd.
East Hempfield Township
Bridge replacement, widening, turning lanes, recovery lanes"
"64778","Four Year","State Rd:Neshmny Ck-PA413","Bucks         ","Drainage Improvement","29417000","null","State Road
Bristol Township, Bucks County
Drainage Improvement"
"64781","Four Year","Swamp Rd @ Pennswood Brdg","Bucks         ","Bridge Rehabilitation","3662000","null","Swamp Road at Pennswood Bridge 
Newtown Township
Bridge Rehabilitation"
"64791","Four Year","Kedron Ave @ Franklin","Delaware      ","Intersection Improvement","1855000","null","Kedron Avenue at Franklin Avenue
Ridley Township
Intersection Improvements"
"64795","Four Year","Rock Hil Rd@Belmont Av","Montgomery    ","Corridor Safety Improvement","4966000","null","Rock Hill Rd @ Belmont Ave
Lower Merion Twp
Corridor Improvements"
"64798","Four Year","N Narberth Ave O/AMTRAK","Montgomery    ","Bridge Replacement","0","64798","N Narberth Avenue over AMTRAK
Narberth Borough
Bridge Replacement"
"65109","Four Year","Transit Flex - SEPTA","Philadelphia  ","Transit System Improvement","204996000","null","SEPTA Transit flex"
"65189","Four Year","Church Street over Salt Lick Creek","Susquehanna   ","Bridge Deck Replacement","1875000","null","Bridge rehabilitation/replacement on Church Street over Salt Lick Creek, in New Milford Borough, Susquehanna County."
"66952","Four Year","PA23/US422 Int & N Gulph","Montgomery    ","Interchange Improvement","14785000","null","PA 23/US 422 Inter & N Gulph Road Improve
Upper Merion Township
Interchange Improvement"
"67085","Four Year","T437 College Av Marcomis","Lackawanna    ","Bridge Replacement","2745000","null","Bridge rehabilitation/replacement on Township Road 437 (College Avenue) over Marcomis Creek in La Plume Township, Lackawanna County."
"67199","Four Year","SR 3023 over Roaring Brook","Lackawanna    ","Bridge Rehabilitation","6882000","null","Bridge rehabilitation/replacement on State Route 3023 (Cedar Avenue) over Roaring Brook in the City of Scranton, Lackawanna County."
"67203","Four Year","SR 307 over Williams Bridge Reservoir","Lackawanna    ","Replace/Rehab","2515000","null","Bridge replacement on State Route 307 (Scranton Pocono Highway) over Williams Bridge Reservoir in Roaring Brook Township, Lackawanna County."
"67227","Four Year","SR 107 over Branch Tunkhannock Creek","Lackawanna    ","Replace/Rehab","702800","null","Bridge rehabilitation/replacement on State Route 107 (Benton Road) over Branch of Tunkhannock Creek in Benton Township, Luzerne County."
"67291","Four Year","SR 1415 over Tributary Harvey's Lake Creek","Luzerne       ","Replace/Rehab","850000","null","Bridge rehabilitation/replacement on State Route 1415 (Lakeside Drive) over Tributary to Harvey's Lake Creek in Harvey's Lake Borough, Luzerne County."
"67329","Four Year","SR 4016 over Reyburn Creek","Luzerne       ","Bridge Replacement","600000","null","Bridge replacement on State Route 4016 (Main Road) over Reyburn Creek, in Union Township, Luzerne County."
"67333","Four Year","SR 3040 over Tributary Nescopeck Creek","Luzerne       ","Replace/Rehab","1437500","null","Bridge rehabilitation/replacement on State Route 3040 (Saint Johns Road) over Tributary to Nescopeck Creek in Sugarloaf
Township, Luzerne County."
"67410","Four Year","SR 6309 over Luzerne County Rail Authority","Luzerne       ","Replace/Rehab","9950000","null","Bridge rehabilitation/replacement on State Route 6309 (Mountain Boulevard) over Luzerne County Rail Authority in Ashley Borough/Hanover twp, Luzerne County."
"67443","Four Year","I-81 Dorrance Bridges","Luzerne       ","Bridge Replacement","27193346","null","Bridge replacement on Interstate 81 over SR 3007 at Exit 155; over SR 3010 and over Big Wapwallopen Creek; and extension of box culvert carrying Interstate 81 over Tributary Wapwallopen Creek  in Dorrance Township, Luzerne County."
"67456","Four Year","TR 924 Over Conrail, Hazle","Luzerne       ","Bridge Replacement","3630000","null","Bridge replacement on State Route 924 (Hazelton Shepton Highway) over Conrail in Hazle Township, Luzerne County.
"
"67491","Four Year","SR 315 over Reading Blue Mt and Northern Railroad","Luzerne       ","Bridge Preservation Activities","2950000","null","Bridge preservation on State Route 315 (Dupont Highway) over Reading Blue Mountain and Northern Railroad, in Laflin Borough, Luzerne County."
"67525","Four Year","SR 706 over East Branch Wyalusing Creek","Susquehanna   ","Replace/Rehab","5250000","null","Bridge rehabilitation/replacement on State Route 706 over East Branch of Wyalusing Creek in Jessup Township, Susquehanna County."
"67548","Four Year","SR 3004 over Riley Creek","Susquehanna   ","Replace/Rehab","915000","null","Bridge replacement on State Route 3004 over Riley Creek, in Auburn Township, Susquehanna County."
"67560","Four Year","SR 4008 over Silver Creek","Susquehanna   ","Replace/Rehab","1550000","null","Bridge rehabilitation/replacement on State Route 4008 over Silver Creek, in Franklin Township, Susquehanna County."
"67578","Four Year","SR 296 over Van Aucken Creek","Wayne         ","Replace/Rehab","1665000","null","Bridge replacement on State Route 296 (Belmont Street) over Van Aucken Creek, in Waymart Borough, Wayne County."
"67587","Four Year","SR 3018 over Tributary Middle Creek","Wayne         ","Replace/Rehab","1420000","null","Bridge rehabilitation/replacement on State Route 3018 (Cortez Road) over Tributary to Middle Creek in South Canaan Township, Wayne County."
"67592","Four Year","SR 3030 over Van Auken Creek","Wayne         ","Replace/Rehab","1055000","null","Bridge replacement on State Route 3030 (Carbondale Road) over Van Auken Creek, in Waymart Borough, Wayne County."
"68808","Four Year","SR 2001 over South Run Creek C-3","Wyoming       ","Replace/Rehab","100000","null","Bridge rehabilitation/replacement on State Route 2001 (Buckwheat Hollow Road) over South Run Creek in Monroe Township, Wyoming County."
"68841","Four Year","SR 2018 over Leonard Creek","Wyoming       ","Replace/Rehab","600000","null","Bridge replacement on State Route 2018 (Plattsburg Road) over Leonard Creek, in Monroe Township, Wyoming County."
"68874","Four Year","SR 3002 over Stone Run","Wyoming       ","Replace/Rehab","535000","null","Bridge rehabilitation on State Route 3002 (Wilson Road) over Stone Run, in Noxen Township, Wyoming County."
"68900","Four Year","SR 590 over Inlet to Finn Swamp","Wayne         ","Replace/Rehab","987950","null","Bridge rehabilitation/replacement on State Route 590 (Purdytown Turnpike) over Inlet to Finn Swamp in Paupack Township, Wayne County."
"68906","Four Year","SR 1004 over Calkins Creek","Wayne         ","Replace/Rehab","2954695","null","Bridge rehabilitation/replacement on State Route 1004 (River Road) over Calkins Creek in Damascus Township, Wayne County."
"68921","Four Year","SR 1023 over South Branch Equinunk","Wayne         ","Replace/Rehab","1329295","null","Bridge replacement on State Route 1023 (Pine Mill Road) over South Branch of Equinunk Creek in Manchester Township, Wayne County."
"68936","Four Year","SR 167 over Martins Creek","Susquehanna   ","Bridge Replacement","3850000","null","Bridge replacement on State Route 167 (Main Street) over Martins Creek in Hop Bottom Borough, Susquehanna County."
"68940","Four Year","SR 171 over Lackawanna River","Susquehanna   ","Bridge Rehabilitation","1525000","null","Bridge rehabilitation on State Route 171 (Main Street) over Lackawanna River in Clifford Township, Susquehanna County."
"68954","Four Year","SR 247 over Dundaff Creek","Susquehanna   ","Replace/Rehab","1132218","null","Bridge replacement on State Route 247 over Dundaff Creek in Clifford Township, Susquehanna County."
"69010","Four Year","SR 2002 over Outlet Lakeside Pond","Susquehanna   ","Bridge Replacement","890000","null","Bridge replacement on State Route 2002 over Outlet Lakeside Pond, in Lathrop Township, Susquehanna County."
"69023","Four Year","SR 2036 over Overflow Channel","Susquehanna   ","Replace/Rehab","240000","null","Bridge replacement on State Route 2036 over Overflow Channel for Tunkhannock Creek in Gibson Township, Susquehanna County."
"69085","Four Year","Bridge over Big Run","Elk           ","Bridge Improvement","2175430","null","SR 120 over Big Run
City of St Marys
Bridge Improvement"
"69228","Four Year","SR 29 over New Commerce Boulevard","Luzerne       ","Bridge Preservation Activities","2950000","null","Bridge Preservation on State Route 29 (South Cross Valley Expressway) over New Commerce Boulevard in Sugar Notch Borough/Hanover twp, Luzerne County."
"69335","Four Year","RATS BARTA Flex","Berks         ","Transit System Improvement","6300000","null","Berks County
BARTA Fleet Replacement"
"69387","Four Year","Long Hollow Run Bridge","Mifflin       ","Bridge Improvement","2368162","null","SR 22 over Long Hollow Run Bridge
Wayne Township
Bridge Improvement"
"69665","Four Year","S.Creek Rd O/Brandywine","Delaware      ","Bridge Replacement","20917000","null","South Creek Road/Brandywine Creek
Chaddsford  & Pennsbury Townships
Bridge Replacement"
"69817","Four Year","US 322:  Clayton Park - Chelsea Parkway","Delaware      ","Widen","121354215","null","US 322:  Clayton Park - Chelsea Parkway
Bethel Township
Roadway Widening"
"69828","Four Year","Market Street Bridge","Philadelphia  ","Bridge Deck Rehabilitation","118052000","null","Market Street
City of Philadelphia
Bridge Rehabilitation"
"69909","Four Year","Willits Road Bridge","Philadelphia  ","Bridge Deck Rehabilitation","4841000","null","Willits Road
City of Philadelphia
Bridge Rehab"
"70231","Four Year","Swnsn St:  Dela-Orgn (L)","Philadelphia  ","New Roadway","26963000","null","Swanson St
City of Philadelphia
New Roadway Construction
"
"72355","Four Year","Valley Green Rd Brg O/Wis","Montgomery    ","Bridge Replacement","0","72355","Valley Green Road Bridge over Wissahickon Creek
Whitemarsh Township
Bridge Replacement"
"72814","Four Year","West Shore (US 422) Reconstruction Phase 2","Berks         ","Reconstruct","4810500","null","Reconstruct and widen US 422 (West Shore Bypass in two phases) from PA 12 in Wyomissing Borough to the Schuylkill River Bridge east of Interstate 176 into Exeter Township, Berks County."
"73051","Four Year","SR 3035/Weyman Br ov Saw Mill Rn","Allegheny     ","Bridge Replacement","1700000","null","Bridge replacement on SR 3035, Weyman Road Bridge over Saw Mill Run in Whitehall Borough, Allegheny County."
"74342","Four Year","PA 711 Crawford Ave Bridge","Fayette       ","Bridge Rehabilitation","10200000","null","SR 711 
City of Connellsville
Bridge Rehabilitation"
"74344","Four Year","Cast Iron Bridge","Fayette       ","Bridge Rehabilitation","9141704","null","SR 4003 (Market Street) over Dunlap Creek
Brownsville Borough, Fayette County
Bridge Rehabilitation"
"74521","Four Year","Maclay Street Bridge","Dauphin       ","Bridge Replacement","37059358","null","Maclay Street (SR 3022) over Norfolk Southern Railroad
City of Harrisburg
Bridge Replacement"
"74664","Four Year","SR 2007 over Mud Run","Crawford      ","Bridge Replacement","410000","null","State Route 2007 (Pettis Road) Bridge over Mud Run 
East Fairfield Township
Bridge Preservation/Rehabilitation/Replacement"
"74670","Four Year","SR 3039 Bridge over Lackawannock Creek","Mercer        ","Bridge Rehabilitation","600000","null","State Route 3039 (Valley Road) Bridge over Lackawannock Creek
Jefferson Township
Bridge Restoration/Rehabilitation"
"74672","Four Year","SR 2012 over Hunter Run","Crawford      ","Bridge Rehabilitation","620000","null","State Route 2012 (Hunter Road) Woodcock Bridge over Hunter Run 
East Mead Township
Bridge Restoration/Rehabilitation"
"74693","Four Year","PA 36 over Tionesta Creek","Forest        ","Bridge Rehabilitation","3400000","null","State Route 36 (Elm Street) Bridge over Tionesta Creek
Borough of Tionesta 
Bridge Preservation/Rehabilitation/Replacement"
"74813","Four Year","Ambler Borough Street Imp(L)","Montgomery    ","Transportation Enhancement","375000","null","Street Improvements
Borough of Ambler
Corridor Safety Improvements"
"74816","Four Year","Whitemarsh Street Imprv (D)","Montgomery    ","Safety Improvement","1200000","null","Street Improvements
Whitemarsh Township
Corridor Safety Improvements"
"74827","Four Year","Delaware Canal Enhance","Bucks         ","Miscellaneous","1596000","null","Delaware Canal Enhancement
Yardley and Bristol Boroughs
Transportation Enhancements"
"74912","Four Year","I-80 Bridge Replacements","Centre        ","Bridge Replacement","15913500","null","Interstate 80 Bridge Replacements over SR 1010  and T-476
Marion Township
Bridge Replacements"
"74937","Four Year","Ridge Pike & Joshua Rd (D)","Montgomery    ","Reconstruct","640000","null","Ridge Pike & Joshua Road
Whitemarsh Township
Reconstruction"
"74979","Four Year","611 /715 Improvements","Monroe        ","Safety Improvement","18389263","null","I-80 Exit 298, SR 611 and Exit 299, SR 715
Pocono Township
Monroe County
Congestion Reduction"
"75917","Four Year","I-81 Susquehanna Bridge","Susquehanna   ","Bridge Replacement","171348626","null","Bridge replacement on I-81 over Susq. Street, Susq. River, Trowbridge Creek in New Milford Boro., Great Bend Boro., New Milford Twp., Great Bend Twp., SR 1029 over I-81, reconstruction on SR 171, SR 8011(Ramps A,B,C, D), Susq. County."
"75976","Four Year","I-81 Exit 219","Susquehanna   ","Interchange Improvement","31827221","null","Interchange/Safety Improvement on Interstate 81 (Exit 219) in Harford and New Milford Townships, Susquehanna County."
"75978","Four Year","I-70 @ PA 51 Interchange","Westmoreland  ","Interchange Improvement","157663001","null","I-70 @ PA 51
Westmoreland County
Interchange Reconstruction"
"76003","Four Year","PA 381 ov Br Meadow Run - DFB","Fayette       ","Bridge Replacement","424000","null","SR 381 over branch of Meadow Run
Wharton Township, Fayette County
Bridge Replacement/rehabilitation"
"76017","Four Year","SR 4016 over Redstone Ck","Fayette       ","Bridge Replacement","584000","null","SR 4016 over Redstone Creek
Redstone Township, Fayette County
Bridge Improvements"
"76050","Four Year","PA 88 over Trib Mon River","Washington    ","Bridge Improvement","2118000","null","SR 88 over Trib to Mon River
Speers Borough, Washington County
Bridge Replacement"
"76105","Four Year","US 119 over Crabtree Creek 2","Westmoreland  ","Bridge Improvement","2257500","null","Bridge Improvements
US 119 over Branch of Crabtree Creek
Hempfield Township, Westmoreland County"
"76123","Four Year","PA 711 ov Br of Tubmill Ck","Westmoreland  ","Bridge Replacement","1300000","null","SR 711 ov Br of Tubmill Ck
Bridge Replacement
Fairfield Township and Ligonier Township, Westmoreland County."
"76157","Four Year","SR4022 ov Chemung River","Bradford      ","Bridge Rehabilitation","5655900","null","SR 4022 (Wilawana Road) over Chemung River
Athens Twp.
Bridger rehabilitation"
"76357","Four Year","I-80 Reconstruction-Monroe","Monroe        ","Reconstruct","628571144","null","Interstate 80 Full Roadway Reconstruction 
west of the Exit 303 interchange to east of Exit 307 interchange
Stroud Township, Stroudsburg Borough and East Stroudsburg Borough
Monroe County
"
"76403","Four Year","CSVT Paving South Sec","Snyder        ","New Roadway","219987826","null","New Roadway from SR 11/15 & SR 522 Interchange in the Shamokin Dam Borough to SR 15 near Winfield in Monroe Twp & Shamokin Dam Boro.
Paving for CSVT"
"76890","Four Year","PA 8: Polk Cutoff to US 62","Venango       ","Restoration","3000000","null","State Route 8 (Pittsburgh Road) from Polk Cutoff to US Route 62 (Mercer Road)
Sandycreek Township and the City of Franklin
Resurface/Restoration"
"78396","Four Year","PA 18 ov Abandoned Plant Access Rd","Lawrence      ","Bridge Replacement","1350000","null","Bridge replacement on SR 0018 over Abandoned Plant Access Road South, Beaver Township, Lawrence County.
"
"78397","Four Year","Eastbrook Road Bridge","Lawrence      ","Bridge Rehabilitation","1760000","null","Bridge superstructure replacement on SR 0168 over Hottenbaugh Run in Hickory Township, Lawrence County."
"78427","Four Year","Wildwood Rd over BP RR","Allegheny     ","Bridge Rehabilitation","7000000","null","Superstructure replacement on SR 4070, Wildwood Road over CSX Railroad in Hampton Township, Allegheny County."
"78464","Four Year","Williams Road over Middle Branch of Sugar Creek","Venango       ","Bridge Replacement","215000","null","Williams Road (Township Road 627) Bridge over Sugar Creek Middle Branch
Plum Township
Local Bridge Rehabilitation"
"78465","Four Year","Fisherman's Cove (T-370) Bridge","Venango       ","Bridge Rehabilitation","2050000","null","Fisherman's Cove Road (Township Road 370) Bridge over Victory Run
Victory Township
Local Bridge Superstructure Replacement"
"78516","Four Year","Brownsville Rd /Nesh Cr","Bucks         ","Bridge Replacement","6896000","null","Brownsville Rd O/Neshaminy Cr
L Southampton Twp
Bridge Replacement"
"78637","Four Year","SR 1022 over Pine Creek","Potter        ","Bridge Improvement","3779036","null","SR 1022 over Pine Creek
Galeton Borough
Bridge Improvements"
"78640","Four Year","Conewago Creek Bridge","Adams         ","Bridge Replacement","3504942","null","Bridge Replacement
SR 1015 (Oxford Road) over Conewage Creek
Straban Township"
"78776","Four Year","SR2007 ov Sugar Run","Bradford      ","Bridge Rehabilitation","80000","null","SR 2007 (Wilmot Road) over Sugar Run
Terry Township, Bradford County
Bridge rehabilitation
"
"78794","Four Year","SR3009ovSugarCreek","Bradford      ","Bridge Rehabilitation","70000","null","Bridge rehabilitation
SR 3009 (Main St) over Sugar Creek
Burlington Township, Bradford County
"
"78836","Four Year","US 6 over West NY & PA RR","Crawford      ","Bridge Rehabilitation","780000","null","US Route 6 (French Creek Parkway) Bridge over the Western New York and Pennsylvania Railroad (DOT #262855W)
Woodcock Township
Bridge Rehabilitation/Restoration"
"78841","Four Year","PA 77 over Trib Muddy Ck","Crawford      ","Bridge Rehabilitation","780000","null","State Route 77 (State Street) Bridge over Muddy Creek Tributary
Athens Township
Bridge Preservation/Rehabilitation/Replacement"
"78844","Four Year","York Road Bridge","York          ","Bridge Preservation Activities","1491121","null","Bridge Rehabilitation  
 PA 116 (York Road) over a Tributary to Codorus Creek in North Codorus Township"
"78845","Four Year","SR 2014 over Wolf Ck #2","Mercer        ","Bridge Rehabilitation","75000","null","State Route 2014 (Scrubgrass Road) Bridge over Wolf Creek Tributary #2
Findley Township
Bridge Rehabilitation/Restoration"
"78846","Four Year","SR 177 Over Beaver Creek","York          ","Bridge Rehabilitation","1449501","null","Bridge Rehabilitation
SR 177 Over Beaver Creek and Pinchot Lake
Warrington Twp"
"78887","Four Year","SR 1013 over Conewago Crk","York          ","Bridge Rehabilitation","2402797","null","Bridge rehabilitation
SR 1013 (Cly Rd.) over Conewago Creek
Newberry twp"
"78888","Four Year","Wago Road Bridge","York          ","Bridge Rehabilitation","3526487","null","Bridge Rehabilitation
SR 1019 Over Diversion Channel
East Manchester Twp"
"78901","Four Year","Old Forge Road Bridge","York          ","Bridge Replacement","1352000","null","SR 2048 (Old Forge Rd) over Branch of Muddy Creek
Chanceford Twp
Bridge Replacement"
"78938","Four Year","SR87 ov Ogdonia Creek","Sullivan      ","Bridge Rehabilitation","910000","null","SR 87 over Ogdonia Creek
Hillsgrove Township, Sullivan County
Bridge rehabilitation"
"78943","Four Year","SR 2104 Brdg over I-79","Mercer        ","Bridge Rehabilitation","0","88482","State Route 2104 (Foxmine Road) Bridge over Interstate 79 (Raymond P Shafer Highway)
Jackson Township
Bridge Rehabilitation/Restoration"
"78945","Four Year","SR 4004 Brdg/Pine Valley","Warren        ","Bridge Rehabilitation","570000","null","State Route 4004 (Cornish Hill Road) Center Street Bridge over Pine Valley Brook
Columbus Township
Bridge Rehabilitation/Restoration"
"78952","Four Year","SR 4015 Brdg/ Mill Brook","Warren        ","Bridge Rehabilitation","760000","null","State Route 4015 (Lottsville Niobe Road) Bridge over Mill Brook
Freehold Township
Bridge Rehabilitation/Restoration"
"78989","Four Year","Colonial Road Bridge","York          ","Bridge Preservation Activities","797000","null","Bridge preservation 
State Route 4015(Colonial Road) over Davidsburg Run in Dover Township
"
"78995","Four Year","Kinderhook Rd ovr Little Chiques Crk","Lancaster     ","Bridge Replacement","4151405","null","Replace Bridge 
SR 4003 over Little Chiques Creek,
West Hempfield Township & Rapho Township"
"79020","Four Year","Veteran's Mem Br -Susq Rv","Lancaster     ","Bridge Rehabilitation","83339172","null","Bridge Rehabilitation
SR 0462 over Susquehanna River,
Columbia Boro, West Hempfield Twp, and Wrightsville Boro."
"79025","Four Year","California Rd Bridge #1","Lancaster     ","Bridge Replacement","686451","null","Bridge Replacement
SR 1019 over Tributary of Conestoga River,
Caernarvon Township."
"79039","Four Year","Weavers Mill Rd Bridge","Perry         ","Bridge Replacement","0","100425","Bridge rehabilitation
SR 3011 over Shermans Creek,
Tyrone Township."
"79163","Four Year","SR 715 over Pocono Creek","Monroe        ","Bridge Replacement","0","79473","SR 715 over Pocono Creek
Pocono Township
Bridge Replacement"
"79329","Four Year","Concord Rd Industrial Prk Access","Delaware      ","New Roadway","22730000","null","Bridgewater Rd Ext
Aston, Chester & U Chichester Twps
Roadway Extension"
"79365","Four Year","PA 18 over Chartiers Ck-1","Washington    ","Bridge Improvement","3471395","null","PA 18 over Chartiers Creek
South Franklin Township, Washington County
Bridge Improvements"
"79467","Four Year","SR 12 Elizabeth Avenue","Berks         ","Safety Improvement","11836070","null","Safety Improvements along the Route 12 Corridor from Hill View Road/Elizabeth Avenue to Skyline Drive with possible roundabouts at termini points pending alternative analysis results."
"79473","Four Year","SR 715/ 611 Intersection","Monroe        ","Safety Improvement","10771815","null","SR 715/611 Intersection
Pocono Township
Realign SR 715 to create a 4-way intersection with SR 611"
"79525","Four Year","SR 4024 over Laurel Run","Luzerne       ","Replace/Rehab","1200000","null","Bridge rehabilitation/replacement on State Route 4024(Grassy Pond Road) over Laurel Run, in Ross Township, Luzerne County."
"79828","Four Year","I-95:  Race - Shackamaxon","Philadelphia  ","Reconstruct","224263869","null","I-95:  Race - Shackamaxon Street
City of Philadelphia
Roadway Reconstruction"
"79894","Four Year","MC07 McClarens Run #7","Allegheny     ","Bridge Replacement","1100000","null","Bridge replacement on McClaren Road (formerly Cliff Mine Road) over McClarens Run in Findlay Township, Allegheny County."
"79905","Four Year","I-95: Betsy RossMainln NB","Philadelphia  ","Widen","313612649","null","I-95: Betsy Ross Mainln NB 
Philadelphia County
Widening/Reconstruction"
"79910","Four Year","I-95: Margaret-Carver","Philadelphia  ","Widen","274459980","null","I-95: Margaret-Kennedy
Philadelphia County
Widening/Reconstruction"
"80052","Four Year","Fttrs Mll O/Pnnpck Cr (L)","Montgomery    ","Rehab/Operate Historic Structure","2968000","null","Fetters Mill O/Pennypack Creek
Lower Moreland Township, Bryn Athyn Borough
Bridge Replacement"
"80073","Four Year","LVTS In House Bridge Design Assistance","Lehigh        ","Bridge Rehabilitation","99987","null","Various Bridge Locations 
Lehigh and Northampton Counties
Consultant Support Services for In House Bridge Design"
"80074","Four Year","NEPA In-house Bridge Design Assistance","Carbon        ","Miscellaneous","250000","null","Various Bridge Locations
Carbon, Monroe, and Schuylkill Counties.
Consultant Support Services for In house Bridge Design"
"80797","Four Year","Parker Street Bridge over Lackawanna River","Lackawanna    ","Replace/Rehab","3387500","null","Bridge rehabilitation/replacement on State Route 7302 (Parker Street Bridge) over Lackawanna River in the City of Scranton, Lackawanna County."
"81039","Four Year","Toms Run Bridge","York          ","Bridge Replacement","1470386","null","Bridge Replacement
SR 2071-001 Toms Run Bridge
York County"
"81070","Four Year","Harmony Grove Rd Br PM","York          ","Bridge Preservation Activities","3305680","null","Bridge Preservation.
SR 4014, Harmony Groove Rd. over Conewago Creek.
Dover and Warrington Twps."
"81192","Four Year","Layton Bridge","Fayette       ","Replace/Rehab","35168755","null","SR 4038 (Layton Street) over Youghiogheny River / Trail
Perry Township, Fayette County
Bridge Improvements"
"81292","Four Year","Frankford Av/Frankford Ck","Philadelphia  ","Bridge Replacement","9439000","null","Frankford Ave over Frankford Creek
Bridge Replacement 
City of Philadelphia

"
"81747","Four Year","Salina Bridge","Westmoreland  ","Bridge Improvement","23212754","null","SR 1060 (Bridge Street) over the Kiskiminetas River and Norfolk Southern RR
Bell Township, Westmoreland County
Bridge Improvement"
"81750","Four Year","Tenth Street Bypass","Allegheny     ","Resurface","5650000","null","Pavement preservation, with areas of concrete patching on SR 2128, from Fort Duquesne Bridge/South End Interchange to Fort Duquesne Boulevard  near David L. Lawrence Convention Center in the City of Pittsburgh, Allegheny County"
"81838","Four Year","SR 4012 over Robinson Run-1","Washington    ","Bridge Replacement","200000","null","SR 4012 over Robinson Run
Midway Borough, Washington County
Bridge Replacement"
"81842","Four Year","SR 1010 over Pumpkin Run","Greene        ","Bridge Improvement","1572751","null","SR 1010 over Pumpkin Run 
Rices Landing Borough, Greene County
Bridge Improvements"
"81960","Four Year","SR 4012 over Brush Creek","Westmoreland  ","Bridge Replacement","2874954","null","SR 4012 over Brush Creek
Manor Borough, Westmoreland County
Bridge Improvements"
"82113","Four Year","Cussewago St/French Creek","Crawford      ","Bridge Replacement","6150000","null","State Route 6 (River Street) Cussewago Street Bridge over French Creek 
Cambridge Township and the Borough of Venango
Bridge Preservation/Restoration/Replacement"
"82774","Four Year","SR 1020 over Pine Creek","Columbia      ","Bridge Rehabilitation","920000","null","SR 1020 over Pine Creek.
Fishing Creek Township
Bridge Superstructure Rehabilitation"
"83086","Four Year","Delivery_Consult Assist","Lehigh        ","Bridge Rehabilitation","12013022","null","Lehigh and Northampton Counties
Consultant assistance in project delivery and construction"
"83137","Four Year","South Negley Ave. Bridge","Allegheny     ","Bridge Rehabilitation","5590000","null","Bridge rehabilitation on structure carrying South Negley Ave over Norfolk Southern Railroad tracks and Port Authority of Allegheny County East Busway in the City of Pittsburgh, Allegheny County."
"83213","Four Year","Creekside Bridge #1","Indiana       ","Bridge Replacement","515900","null","Existing structure carrying PA 110 over Crooked Creek
Creekside Borough
Bridge Replacement"
"83245","Four Year","Rural Valley Bridge #4","Armstrong     ","Bridge Replacement","1019384","null","SR 2001 (Water Street) over a tributary to Cowanshannock Creek
Rural Valley Borough
Bridge Replacement"
"83250","Four Year","Lickingville Bridge #2","Clarion       ","Bridge Rehabilitation","1493974","null","Existing structure carrying SR 4004 (Sunny Road) over Licking Creek
Farmington Township
Bridge Restoration"
"83322","Four Year","SR 2011 ov Trib Canoe Creek","Jefferson     ","Bridge Replacement","1980638","null","SR 2011 (Cloe-Rossiter Road) over a tributary to Canoe Creek
Bell Township
Bridge Replacement"
"83336","Four Year","SR 3015 over Trib. to Breakneck Creek","Butler        ","Bridge Replacement","0","89972","SR 3015 (Mars Evans City Road) over a tributary to Breakneck Creek
Callery Borough
Bridge Rehabilitation/Replacement"
"83382","Four Year","SR 3007 over Marshall Run #1","Indiana       ","Bridge Replacement","1491300","null","SR 3007 (Clarksburg Road) over Marshall Run
Conemaugh Township
Bridge Replacement"
"83611","Four Year","US 422 Shawood Pipe","Butler        ","Drainage Improvement","87420","null","US 422/I-79 Interchange
Muddy Creek Township
Culvert replacement/repair"
"83742","Four Year","Keim St o/Schuylkll Riv","Montgomery    ","Bridge Replacement","0","83742","Existing structure is an 8-span, 749' steel Pony Truss over the Schuylkill River. The proposed structure to meet current design standards is two 11' lanes, two 4' shoulders, and one 6' sidewalk."
"84016","Four Year","Pitney Rd over Amtrak Br","Lancaster     ","Bridge Rehabilitation","1576538","null","SR 3028, Pitney Road over Amtrak Bridge
Lancaster City & East Lampeter Township
Bridge Rehabilitation."
"84099","Four Year","Marsh Creek","Potter        ","Bridge Improvement","1841639","null","SR 49 over Unnamed Trib to Genesee River (name changed from Marsh Creek)
Bingham Township
Bridge Improvement"
"84256","Four Year","Old Street Rd/ SEPTA","Bucks         ","Bridge Replacement","225000","null","Old Street Road over SEPTA West Trenton Bridge
Bensalem and Lower Southampton Townships
Bridge Replacement
"
"84258","Four Year","PA Avenue/ Delaware Canal","Bucks         ","Bridge Replacement","150000","null","Pennsylvania Avenue over Delaware Canal
Morrisville Boro
Bridge Replacement"
"84386","Four Year","NEPA 4-0 Bridge Review","Pike          ","Bridge Rehabilitation","100000","null","Rehabilitation of bridges in various Locations in Pike and Wayne Counties."
"84389","Four Year","N Tier Bridge Review","Susquehanna   ","Bridge Replacement","100000","null","Review of bridges in various locations in Susquehanna and Wyoming Counties."
"84828","Four Year","US 322 over Campbell Run","Jefferson     ","Bridge Replacement","2471200","null","SR 322 over Campbell Run
Rose Township
Bridge Replacment"
"85085","Four Year","SR 46 over North Creek","Cameron       ","Bridge Improvement","1400981","null","SR 46 over North Creek
Shippen Township
Bridge Improvement"
